,SRC,TRG
0,write a python program to add two numbers,"num1 = 1.5
num2 = 6.3
sum = num1 + num2
print(f'Sum: {sum}')"
1,write a python function to add two user provided numbers and return the sum,"def add_two_numbers(num1, num2):
    sum = num1 + num2
    return sum"
2,write a program to find and print the largest among three numbers,"num1 = 10
num2 = 12
num3 = 14
if (num1 >= num2) and (num1 >= num3):
   largest = num1
elif (num2 >= num1) and (num2 >= num3):
   largest = num2
else:
   largest = num3
print(f'largest:{largest}')"
3,write a program to find and print the smallest among three numbers,"num1 = 10
num2 = 12
num3 = 14
if (num1 <= num2) and (num1 <= num3):
   smallest = num1
elif (num2 <= num1) and (num2 <= num3):
   smallest = num2
else:
   smallest = num3
print(f'smallest:{smallest}')"
4,Write a python function to merge two given lists into one,"def merge_lists(l1, l2):
    return l1 + l2"
5,Write a program to check whether a number is prime or not,"num = 337
if num > 1:
   for i in range(2, num//2 + 1):
       if (num % i) == 0:
           print(num,""is not a prime number"")
           print(f""{i} times {num//i} is {num}"")
           break
   else:
       print(f""{num} is a prime number"")
else:
   print(f""{num} is not a prime number"")"
6,Write a python function that prints the factors of a given number,"def print_factors(x):
   print(f""The factors of {x} are:"")
   for i in range(1, x + 1):
       if x % i == 0:
           print(i)"
7,Write a program to find the factorial of a number,"num = 13
factorial = 1
if num < 0:
   print(""No factorials for negative numbers!"")
elif num == 0:
   print(""The factorial of 0 is 1"")
else:
   for i in range(1,num + 1):
       factorial = factorial*i
   print(f""The factorial of {num} is {factorial}"")"
8,"Write a python function to print whether a number is negative, positive or zero","def check_pnz(num):
    if num > 0:
       print(""Positive number"")
    elif num == 0:
       print(""Zero"")
    else:
       print(""Negative number"")"
9,Write a program to print the multiplication table of a given number,"num = 9
for i in range(1, 11):
   print(f""{num} x {i} = {num*i}"")"
10,"Write a python function to print powers of 2, for given number of terms","def two_power(terms):
    result = list(map(lambda x: 2 ** x, range(terms)))
    print(f""The total terms are: {terms}"")
    for i in range(terms):
       print(f""2^{i} = {result[i]}"")"
11,Write a program to filter the numbers in a list which are divisible by a given number,"my_list = [11, 45, 74, 89, 132, 239, 721, 21]
num = 3
result = list(filter(lambda x: (x % num == 0), my_list))
print(f""Numbers divisible by {num} are {result}"")"
12,Write a python function that returns the sum of n natural numbers,"def sum_natural(num):
    if num < 0:
       print(""Please enter a positive number!"")
    else:
       sum = 0
       while(num > 0):
           sum += num
           num -= 1
       return num"
13,Write a program to swap first and last elements in a list,"my_list = [1, 2, 3, 4, 5, 6]
my_list[0], my_list[-1] = my_list[-1], my_list[0]"
14,"Write a python function to find the area of a circle, whose radius is given","def findArea(r): 
    PI = 3.142
    return PI * (r*r)"
15,Write a program to print the sum of squares of first n natural numbers,"n = 21
sum_n = 0
for i in range(1, n+1):
    sum_n += i**2
print(sum_n)"
16,Write a program to print the length of a list,"my_list = [1, 2, 3, 4, 5, 6, 7, 8, 9]
print(len(my_list))"
17,Write a pythno function to print the length of a given tuple,"my_tuple = (1, 2, 3, 4, 5, 6, 7, 8)
print(len(my_tuple))"
18,"Write a python function to print the elements of a given list, one element in a line","def custom_print(l):
    for _ in l:
        print(_)"
19,Write a python function to remove all the odd numbers from a list and return the remaining list,"def remove_odd(my_list):
    result = list(filter(lambda x: (x % 2 == 0), my_list))
    return result"
20,Write a python function to remove all the even numbers from a list and return the remaining list,"def remove_even(my_list):
    result = list(filter(lambda x: (x % 2 != 0), my_list))
    return result"
21,Write a function that takes two lists as input and returns a zipped list of corresponding elements,"def zip_list(list1, list2):
    return list(zip(list1, list2))"
